Třikrát rychlejší než slovo	Tř @@i @@krát rychl @@ejš @@í než slov @@o
Vyhláška , podle níž si některé vyjmenované státní orgány za určitých okolností mohly pořídit tlumočení nebo překlad za jimi nadiktovanou nižší cenu , existovala již za předchozího režimu .	Vy @@hláš @@k @@a , po @@dle níž s @@i ně @@kter @@é vy @@jmen @@ova @@n @@é stát @@n @@í orgán @@y za urč @@it @@ý @@ch o @@kol @@n @@ost @@í moh @@l @@y po @@říd @@i @@t tlumoč @@en @@í nebo pře @@klad za j @@i @@m @@i na @@dikt @@ova @@n @@ou niž @@š @@í cen @@u , exist @@ova @@l @@a již za před @@choz @@ího režim @@u .
A protože tlumočníci a překladatelé se už tehdy z valné části živili ve svobodném povolání , vyhýbalo se také v dřívější době mnoho profesionálů tomu , aby měli ono pověstné " razítko " .	A pro @@t @@o @@že tlumoč @@níc @@i a pře @@klad @@a @@tel @@é s @@e už tehd @@y z val @@n @@é část @@i ži @@v @@i @@l @@i ve svobod @@n @@ém po @@vol @@á @@n @@í , vy @@hýb @@a @@l @@o s @@e také v dřív @@ěj @@š @@í dob @@ě mnoh @@o pro @@fes @@ionál @@ů t @@o @@mu , aby mě @@l @@i on @@o po @@věst @@n @@é " raz @@í @@tk @@o " .
Tento stav je zreprodukován i v současné situaci , kdy na jedné straně existují vyjmenované orgány správní nebo činné v trestním řízení , které za vyhláškou stanovených okolností mohou tlumočníka nebo překladatele povolat ke spolupráci za pevně stanovenou nízkou cenu , a na druhé straně - vlastně spíše všude kolem nich - je volný trh , na kterém si všechny ostatní státní orgány stejně jako podniky nebo jednotlivci vyhledávají partnera , jehož služby jim vyhovují , a sjednávají s ním cenu .	T @@en @@t @@o stav je z @@re @@pro @@duk @@ová @@n i v sou @@čas @@n @@é situ @@ac @@i , kdy na jedn @@é stran @@ě exist @@u @@j @@í vy @@jmen @@ova @@n @@é orgán @@y správ @@ní nebo čin @@n @@é v trest @@n @@ím říz @@en @@í , kter @@é za vy @@hláš @@k @@ou stanov @@en @@ých o @@kol @@n @@ost @@í moh @@ou tlumoč @@ník @@a nebo pře @@klad @@a @@tel @@e po @@vol @@a @@t ke spolu @@prác @@i za pevn @@ě stanov @@en @@ou níz @@k @@ou cen @@u , a na druh @@é stran @@ě - vlast @@n @@ě spíše všud @@e kol @@em n @@i @@ch - je vol @@n @@ý trh , na kter @@é @@m s @@i vš @@ech @@n @@y o @@sta @@t @@n @@í stát @@n @@í orgán @@y stejn @@ě jako pod @@nik @@y nebo jedn @@ot @@liv @@c @@i vy @@hled @@á @@v @@aj @@í partner @@a , j @@e @@ho @@ž služ @@b @@y j @@i @@m vy @@hov @@uj @@í , a s @@jedn @@á @@v @@aj @@í s n @@í @@m cen @@u .
Jak trefně poznamenal jeden z členů našeho výboru , je citovaná vyhláška ve své podstatě podobná vyhlášce mobilizační .	Jak tref @@n @@ě po @@znam @@en @@a @@l jeden z člen @@ů n @@a @@š @@e @@ho vý @@bor @@u , je cit @@ova @@n @@á vy @@hláš @@k @@a ve s @@v @@é pod @@stat @@ě po @@dob @@n @@á vy @@hláš @@c @@e mobil @@iz @@ač @@n @@í .
Stát si činí nárok na to , že za určitých okolností povolá občany schopné vojenské služby k obraně vlasti a nebude jim za to vyplácet ušlý zisk .	Stá @@t s @@i čin @@í ná @@rok na t @@o , že za urč @@it @@ý @@ch o @@kol @@n @@ost @@í po @@vol @@á obč @@an @@y s @@chop @@n @@é voj @@en @@sk @@é služ @@b @@y k o @@bran @@ě vlast @@i a ne @@bud @@e j @@i @@m za t @@o vy @@plác @@e @@t u @@š @@l @@ý zisk .
Stejně tak může zabavit dopravcům automobily _ a obchodníkům s potravinami mouku ze skladů a zaplatit jim za to cenu uvedenou ve svých nařízeních , nikoli cenu tržní .	Stejn @@ě tak můž @@e za @@bav @@i @@t do @@prav @@c @@ům auto @@mobil @@y _ a ob @@chod @@n @@ík @@ům s po @@trav @@in @@ami mouk @@u ze s @@klad @@ů a za @@plat @@i @@t j @@i @@m za t @@o cen @@u u @@ved @@en @@ou ve s @@v @@ý @@ch na @@říz @@en @@ích , ni @@koli cen @@u trž @@n @@í .
Každý rozumný stát ví , že když bude neustále z moci úřední rekvírovat automobily nebo mouku , zlikviduje tím na svém území fungující autodopravu , respektive obchod s potravinami , protože žádného uvažujícího člověka ani nenapadne v těchto oborech podnikat .	Každ @@ý roz @@um @@n @@ý stá @@t v @@í , že když bud @@e ne @@u @@stál @@e z moc @@i ú @@řed @@n @@í rekvír @@ova @@t auto @@mobil @@y nebo mouk @@u , z @@likvid @@uje t @@ím na s @@v @@é @@m ú @@zem @@í fung @@uj @@íc @@í aut @@o @@do @@prav @@u , respektive ob @@chod s po @@trav @@in @@ami , pro @@t @@o @@že žád @@n @@é @@ho u @@važ @@uj @@íc @@ího člověk @@a ani ne @@na @@pad @@ne v t @@ě @@ch @@t @@o o @@bor @@ech pod @@nik @@a @@t .
Na " mobilizaci " tlumočníků a překladatelů podle uvedené vyhlášky je proto třeba pohlížet jako na opatření výjimečné .	Na " mobil @@iz @@ac @@i " tlumoč @@ník @@ů a pře @@klad @@a @@tel @@ů po @@dle u @@ved @@en @@é vy @@hláš @@k @@y je pro @@t @@o třeb @@a po @@hlíž @@e @@t jako na o @@patř @@en @@í vý @@jim @@eč @@n @@é .
Za normálních podmínek mezi nimi a jejich zákazníky platí ceny sjednané podle zásad běžných na trhu , a to včetně zásad práva autorského .	Za norm @@ál @@n @@ích pod @@mín @@ek mezi n @@i @@m @@i a je @@j @@i @@ch zá @@kaz @@ník @@y plat @@í cen @@y s @@jedn @@a @@n @@é po @@dle zá @@sad běž @@n @@ých na trh @@u , a t @@o v @@čet @@n @@ě zá @@sad práv @@a autor @@sk @@ého .
Milan Dvořák , předseda Asociace konferenčních tlumočníků	Milan Dvoř @@ák , před @@sed @@a A @@soci @@ac @@e kon @@fer @@enč @@n @@ích tlumoč @@ník @@ů
Obrázek : 1	Ob @@ráz @@ek : 1
Výrobce - typ : CANON FAX - T 40	Vý @@rob @@c @@e - typ : CANON FAX - T 40
Způsob tisku : TZ	Z @@pů @@sob tisk @@u : T @@Z
Přenosová rychlost : ( A 4 / sec ) 15	Pře @@nos @@ov @@á rychl @@ost : ( A 4 / sec ) 15
Samoopravný režim : ( ECM ) ne	Sam @@o @@o @@prav @@n @@ý režim : ( E @@C @@M ) ne
Rozměry : ( mm ) 414.5 x 367 x 158	Roz @@měr @@y : ( mm ) 414.5 x 367 x 158
Cena : ( Kč ) 26568	Cen @@a : ( K @@č ) 26568
Popis :	Po @@pis :
Fax s integrovaným telefonem .	Fax s integr @@ova @@n @@ým tele @@fon @@em .
Umožňuje používat role papíru o délce 100 m .	U @@mož @@ň @@uje po @@u @@ží @@v @@a @@t rol @@e papír @@u o dél @@c @@e 100 m .
16 znaků na displayi ( volané číslo ) .	16 znak @@ů na dis @@play @@i ( vol @@a @@n @@é čísl @@o ) .
16 stupňů šedi , možnost zvýšení kontrastu .	16 stup @@ň @@ů šed @@i , mož @@n @@ost z @@výš @@en @@í kontrast @@u .
Možnost zkrácené volby 8 předvolených čísel , automatické opakování volby .	Mož @@n @@ost z @@krác @@en @@é vol @@b @@y 8 před @@vol @@en @@ých čís @@el , auto @@mat @@ic @@k @@é opakování vol @@b @@y .
Zpráva o přenosu a zpráva o chybách .	Z @@práv @@a o pře @@nos @@u a z @@práv @@a o chyb @@ách .
Shrnutí :	S @@hr @@nu @@t @@í :
Přístroj se základním vybavením .	Pří @@stroj s @@e zá @@klad @@n @@í @@m vy @@bav @@en @@ím .
Možnost využití i jako kopírky .	Mož @@n @@ost vy @@u @@ži @@t @@í i jako kop @@ír @@k @@y .
100 m role papíru dovoluje přijímat dlouhé serie dokumentů .	100 m rol @@e papír @@u do @@vol @@uje při @@jím @@a @@t dlouh @@é seri @@e doku @@ment @@ů .
Obrázek : 10	Ob @@ráz @@ek : 10
Výrobce - typ : SANYO SFX - 23	Vý @@rob @@c @@e - typ : SANYO S @@F @@X - 23
Způsob tisku : TZ	Z @@pů @@sob tisk @@u : T @@Z
Přenosová rychlost ( A 4 / s ) : 15	Pře @@nos @@ov @@á rychl @@ost ( A 4 / s ) : 15
Samoopravný režim ( ECM ) : ne	Sam @@o @@o @@prav @@n @@ý režim ( E @@C @@M ) : ne
Rozměry ( mm ) : 430 x 302 x 115	Roz @@měr @@y ( mm ) : 430 x 302 x 115
Cena ( Kč ) : 24900	Cen @@a ( K @@č ) : 24900
Popis :	Po @@pis :
Fax kombinovaný s telefonem a s možností připojit telefonní záznamník .	Fax kombin @@ova @@n @@ý s tele @@fon @@em a s mož @@n @@ost @@í při @@poj @@i @@t tele @@fon @@n @@í zá @@znamn @@ík .
Paměť na 50 předvoleb , z toho 16 jednotlačítková volba .	Paměť na 50 před @@vol @@eb , z t @@o @@ho 16 jedn @@o @@tlač @@í @@tk @@ov @@á vol @@b @@a .
Možnost volby při zavěšeném sluchátku .	Mož @@n @@ost vol @@b @@y při za @@věš @@en @@ém sluch @@á @@tk @@u .
Automatické zapamatování posledního voleného čísla , opakování na tlačítko .	Auto @@mat @@ic @@k @@é za @@pamat @@ová @@n @@í po @@sled @@n @@í @@ho vol @@en @@ého čísl @@a , opakování na tlač @@í @@tk @@o .
Vyplnění mezery v hovoru hudbou po stlačení příslušného tlačítka .	Vy @@pln @@ěn @@í mezer @@y v hovor @@u hud @@b @@ou po s @@tlač @@en @@í pří @@sluš @@n @@ého tlač @@í @@tk @@a .
Během faxového provozu možnost požádání o následný telefonický hovor anebo o hovor během příjmu dokumentu .	Běh @@em fax @@ov @@ého pro @@voz @@u mož @@n @@ost po @@žád @@á @@n @@í o ná @@sled @@n @@ý tele @@fon @@ick @@ý hovor a @@nebo o hovor běh @@em pří @@jm @@u dokument @@u .
Odložené vysílání .	Od @@lož @@en @@é vy @@síl @@á @@n @@í .
Řízení kontrastu .	Říz @@en @@í kontrast @@u .
16 stupňů šedi , dva stupně rozlišení .	16 stup @@ň @@ů šed @@i , dv @@a stup @@n @@ě roz @@liš @@en @@í .
Papír 30 m , automatické odřezávání zpráv .	Papír 30 m , auto @@mat @@ic @@k @@é od @@řez @@á @@v @@á @@n @@í z @@práv .
Automatický tisk hlavičky : odesilatel - příjemce .	Auto @@mat @@ick @@ý tisk hlav @@ičk @@y : ode @@sil @@a @@tel - pří @@jem @@c @@e .
Display 16 znaků ve dvou řádcích .	Dis @@play 16 znak @@ů ve dv @@ou řád @@c @@ích .
Možnost důvěrného provozu .	Mož @@n @@ost dů @@věr @@n @@ého pro @@voz @@u .
Zpráva po každém přenosu _ automaticky , na povel zpráva o spojeních v alfabetickém pořadí a žurnál po 40 spojeních nebo na vyžádání .	Z @@práv @@a po každ @@é @@m pře @@nos @@u _ auto @@mat @@ic @@k @@y , na po @@vel z @@práv @@a o s @@poj @@en @@ích v alf @@a @@bet @@ick @@ém po @@řad @@í a žurnál po 40 s @@poj @@en @@ích nebo na vy @@žád @@á @@n @@í .
Možnost kopírování 1 : 1 nebo zmenšení na 80 % , případně zvětšení na 120 % .	Mož @@n @@ost kop @@ír @@ová @@n @@í 1 : 1 nebo z @@men @@š @@en @@í na 80 % , pří @@pad @@n @@ě z @@vět @@š @@en @@í na 120 % .
Shrnutí :	S @@hr @@nu @@t @@í :
Funkční vybavení přístroje , zejména jeho telekomunikační části , zřejmě uspokojí i uživatele s vysokými nároky na racionální faxový provoz .	Funkč @@n @@í vy @@bav @@en @@í pří @@stroj @@e , ze @@jmén @@a je @@ho tele @@komun @@ik @@ač @@n @@í část @@i , zř @@ejm @@ě u @@s @@po @@koj @@í i u @@ži @@v @@a @@tel @@e s vys @@ok @@ými ná @@rok @@y na racion @@ál @@n @@í fax @@ov @@ý pro @@voz .
Obrázek : 2	Ob @@ráz @@ek : 2
Výrobce - typ : RICOH FAX PF - 1	Vý @@rob @@c @@e - typ : RICOH FAX P @@F - 1
Způsob tisku : TZ	Z @@pů @@sob tisk @@u : T @@Z
Přenosová rychlost : ( A 4 / sec ) 34	Pře @@nos @@ov @@á rychl @@ost : ( A 4 / sec ) 34
Rozměry : ( mm ) 277 x 180 x 57	Roz @@měr @@y : ( mm ) 277 x 180 x 57
Cena : ( Kč ) 65 067	Cen @@a : ( K @@č ) 65 067
Popis :	Po @@pis :
Kufříkový fax upravený na použití s mobilním telefonem .	Kufř @@ík @@ov @@ý fax u @@prav @@en @@ý na po @@u @@ži @@tí s mobil @@n @@ím tele @@fon @@em .
Tomu odpovídá i jeho hmotnost 2.5 kg včetně baterie .	T @@o @@mu od @@po @@víd @@á i je @@ho hmot @@n @@ost 2.5 k @@g v @@čet @@n @@ě bateri @@e .
Funkční vlastnosti obdobné jako u běžných stolních faxů .	Funkč @@n @@í vlast @@n @@ost @@i ob @@dob @@n @@é jako u běž @@n @@ých stol @@n @@ích fax @@ů .
V případě , že mobilní telefon je použitelný i mimo auto , pak je fax PF - 1 použitelný také .	V pří @@pad @@ě , že mobil @@n @@í telefon je po @@u @@ži @@teln @@ý i mimo auto , pak je fax P @@F - 1 po @@u @@ži @@teln @@ý také .
Shrnutí :	S @@hr @@nu @@t @@í :
Přístroj , který umožňuje i během jízdy v autě přijímat a vysílat faxové zprávy .	Pří @@stroj , kter @@ý u @@mož @@ň @@uje i běh @@em jízd @@y v aut @@ě při @@jím @@a @@t a vy @@síl @@a @@t fax @@ov @@é z @@práv @@y .
Ocení ho zřejmě podnikatelé , vybaveni mobilním telefonem , kteří hodně cestují autem .	O @@cen @@í ho zř @@ejm @@ě pod @@nik @@a @@tel @@é , vy @@bav @@en @@i mobil @@n @@ím tele @@fon @@em , kteř @@í hod @@n @@ě cest @@uj @@í aut @@e @@m .
Obrázek : 5	Ob @@ráz @@ek : 5
Výrobce - typ : SHARP FO - 226	Vý @@rob @@c @@e - typ : SHARP F @@O - 226
Způsob tisku : TZ	Z @@pů @@sob tisk @@u : T @@Z
Přenosová rychlost : ( A 4 / sec ) 15	Pře @@nos @@ov @@á rychl @@ost : ( A 4 / sec ) 15
Samoopravný režim : ( ECM ) ne	Sam @@o @@o @@prav @@n @@ý režim : ( E @@C @@M ) ne
Rozměry : ( mm ) 365 x 383 x 111	Roz @@měr @@y : ( mm ) 365 x 383 x 111
Cena : ( Kč ) 30500	Cen @@a : ( K @@č ) 30500
Popis :	Po @@pis :
Fax kombinovaný s telefonem .	Fax kombin @@ova @@n @@ý s tele @@fon @@em .
Paměť na 50 čísel _ , z toho 20 na jednotlačítkovou volbu a 30 na dvoutlačítkovou zkrácenou volbu .	Paměť na 50 čís @@el _ , z t @@o @@ho 20 na jedn @@o @@tlač @@í @@tk @@ov @@ou vol @@b @@u a 30 na dv @@ou @@tlač @@í @@tk @@ov @@ou z @@krác @@en @@ou vol @@b @@u .
Nastavování kontrastu manuálně nebo automaticky .	Na @@stav @@ová @@n @@í kontrast @@u manu @@ál @@n @@ě nebo auto @@mat @@ic @@k @@y .
Dva stupně rozlišení , 16 odstínů šedi .	Dv @@a stup @@n @@ě roz @@liš @@en @@í , 16 od @@stín @@ů šed @@i .
Automatické odřezávání formátů .	Auto @@mat @@ic @@k @@é od @@řez @@á @@v @@á @@n @@í form @@át @@ů .
Tisk zprávy o přenosu .	Tisk z @@práv @@y o pře @@nos @@u .
Display na 18 znaků s informací o funkci přístroje .	Dis @@play na 18 znak @@ů s in @@form @@ac @@í o funkc @@i pří @@stroj @@e .
Možnost použití jako kopírky .	Mož @@n @@ost po @@u @@ži @@tí jako kop @@ír @@k @@y .
Možnost připojení telefonního záznamníku .	Mož @@n @@ost při @@poj @@en @@í tele @@fon @@n @@í @@ho zá @@znam @@ník @@u .
Možnost připojení podružné telefonní linky s kódovaným přepojováním na fax .	Mož @@n @@ost při @@poj @@en @@í po @@druž @@n @@é tele @@fon @@n @@í lin @@k @@y s kód @@ova @@n @@ým pře @@poj @@ová @@n @@ím na fax .
Shrnutí :	S @@hr @@nu @@t @@í :
Přístroj s účelně uspořádanými funkcemi pro kanceláře menších firem , kde může být víceúčelově využit .	Pří @@stroj s ú @@čel @@n @@ě u @@s @@po @@řád @@a @@n @@ými funkc @@emi pro kancelář @@e men @@š @@ích firem , kd @@e můž @@e bý @@t více @@účel @@ov @@ě vy @@u @@ži @@t .
Obrázek : 6	Ob @@ráz @@ek : 6
Výrobce - typ : MINOLTAFAX 3300	Vý @@rob @@c @@e - typ : MINOLTA @@FAX 3300
Způsob tisku : Laser	Z @@pů @@sob tisk @@u : Laser
Přenosová rychlost ( A 4 / sec ) : 12	Pře @@nos @@ov @@á rychl @@ost ( A 4 / sec ) : 12
Samoopravný režim ( ECM ) : ano	Sam @@o @@o @@prav @@n @@ý režim ( E @@C @@M ) : ano
Rozměry ( mm ) : 473 x 418 x 318	Roz @@měr @@y ( mm ) : 473 x 418 x 318
Cena ( Kč ) : 110390	Cen @@a ( K @@č ) : 110390
Popis :	Po @@pis :
Fax kombinovaný s telefonem a s laserovou tiskárnou na normální papír .	Fax kombin @@ova @@n @@ý s tele @@fon @@em a s laser @@ov @@ou tisk @@árn @@ou na norm @@ál @@n @@í papír .
Kazeta tiskárny vystačí na zhruba 8000 kopií a stojí 9655 Kč .	Kazet @@a tisk @@árn @@y vy @@stač @@í na z @@hrub @@a 8000 kop @@i @@í a st @@oj @@í 9655 K @@č .
Faxovací část přístroje má zásobník na 30 předloh s programovatelným automatickým podáváním .	Fax @@ova @@c @@í část pří @@stroj @@e m @@á zá @@sob @@ník na 30 před @@loh s program @@ova @@teln @@ým auto @@mat @@ic @@k @@ým po @@d @@á @@v @@á @@n @@ím .
Paměť na 25 normalizovaných stran A 4 .	Paměť na 25 norm @@al @@iz @@ova @@n @@ých stran A 4 .
Předvolba _ 112 čísel , z toho 12 na jednotlačítkovou volbu a 100 na zkrácenou dvoutlačítkovou volbu .	Před @@vol @@b @@a _ 112 čís @@el , z t @@o @@ho 12 na jedn @@o @@tlač @@í @@tk @@ov @@ou vol @@b @@u a 100 na z @@krác @@en @@ou dv @@ou @@tlač @@í @@tk @@ov @@ou vol @@b @@u .
16 stupňů šedi , třístupňové rozlišení .	16 stup @@ň @@ů šed @@i , tř @@í @@stup @@ň @@ov @@é roz @@liš @@en @@í .
Automatická nebo předem nastavitelná redukce formátů zajišťuje , že i nestandardní formáty se vejdou na A 4 .	Auto @@mat @@ic @@k @@á nebo před @@e @@m na @@stav @@i @@teln @@á re @@duk @@c @@e form @@át @@ů za @@jišť @@uje , že i ne @@standard @@n @@í form @@át @@y s @@e ve @@jd @@ou na A 4 .
Čtyři víceúčelové časové spínače .	Čtyř @@i více @@účel @@ov @@é čas @@ov @@é s @@pín @@a @@č @@e .
Automatické opakování volby .	Auto @@mat @@ic @@k @@é opakování vol @@b @@y .
Možnost přepínání na pulzní nebo tónovou volbu .	Mož @@n @@ost pře @@pín @@ání na pulz @@n @@í nebo tón @@ov @@ou vol @@b @@u .
Odložené vysílání s možností automatického rozeslání zprávy až na 100 adresátů i ve vaší nepřítomnosti .	Od @@lož @@en @@é vy @@síl @@á @@n @@í s mož @@n @@ost @@í auto @@mat @@ic @@k @@ého roze @@sl @@á @@n @@í z @@práv @@y až na 100 adres @@át @@ů i ve v @@a @@š @@í ne @@pří @@t @@om @@n @@ost @@i .
Zpráva o přenosu a žurnál přenosů .	Z @@práv @@a o pře @@nos @@u a žurnál pře @@nos @@ů .
Možnost vytištění obsahu paměti předvolby .	Mož @@n @@ost vy @@tišt @@ěn @@í ob @@sah @@u pamět @@i před @@vol @@b @@y .
Shrnutí :	S @@hr @@nu @@t @@í :
Přístroj s komfortním vybavením v telekomunikační i tiskové části .	Pří @@stroj s komfort @@n @@ím vy @@bav @@en @@ím v tele @@komun @@ik @@ač @@n @@í i tisk @@ov @@é část @@i .
Je orientován na uživatele s vysokými nároky na kvalitu tisku .	Je orient @@ová @@n na u @@ži @@v @@a @@tel @@e s vys @@ok @@ými ná @@rok @@y na kval @@it @@u tisk @@u .
Obrázek : 7	Ob @@ráz @@ek : 7
Výrobce - typ : OKI OKIFAX OF - 150	Vý @@rob @@c @@e - typ : OKI OKI @@FAX O @@F - 150
Způsob tisku : LED XEROX	Z @@pů @@sob tisk @@u : LED XEROX
Přenosová rychlost ( A 4 / s ) : 10	Pře @@nos @@ov @@á rychl @@ost ( A 4 / s ) : 10
Samoopravný režim ( ECM ) : ano	Sam @@o @@o @@prav @@n @@ý režim ( E @@C @@M ) : ano
Rozměry ( mm ) : 430 x 475 x 185	Roz @@měr @@y ( mm ) : 430 x 475 x 185
Cena ( Kč ) : 76506	Cen @@a ( K @@č ) : 76506
Popis :	Po @@pis :
Fax kombinovaný s telefonem s tiskárnou na principu xeroxu .	Fax kombin @@ova @@n @@ý s tele @@fon @@em s tisk @@árn @@ou na princip @@u xerox @@u .
Jedna náplň toneru stojí 1427 Kč .	Jedn @@a ná @@plň toner @@u st @@oj @@í 1427 K @@č .
Používá normální nebo xeroxový papír .	Po @@u @@ží @@v @@á norm @@ál @@n @@í nebo xerox @@ov @@ý papír .
Zásobník papíru na 200 listů s možností rozšíření o dalších 500 listů .	Zá @@sob @@ník papír @@u na 200 list @@ů s mož @@n @@ost @@í roz @@šíř @@en @@í o dal @@š @@í @@ch 500 list @@ů .
Automatické přepínání režimu fax - telefon s možností manuálního přepnutí na telefonní konverzaci po přijetí faxu .	Auto @@mat @@ic @@k @@é pře @@pín @@ání režim @@u fax - telefon s mož @@n @@ost @@í manu @@ál @@n @@ího pře @@p @@nu @@t @@í na tele @@fon @@n @@í kon @@verz @@ac @@i po při @@j @@e @@t @@í fax @@u .
